"","name","event","timeSecs","timeMins","country","country2","year","medal","city","sex","gdp","pop","age","height","weight","dist"
"130","bernard lagat","1500M Men",212.4,3.54,"KEN","Kenya",2000,"B","Sydney","M",5.47e+10,31500000,25,173,58,1500
"131","fermin cacho ruiz","1500M Men",220.1,3.66833333333333,"ESP","Spain",1992,"G","Barcelona","M",8.59e+11,39500000,23,175,65,1500
"132","rachid el basir","1500M Men",220.6,3.67666666666667,"MAR","Morocco",1992,"S","Barcelona","M",1.15e+11,25800000,23,180,61,1500
"133","mohamed ahmed sulaiman","1500M Men",220.7,3.67833333333333,"QAT","Qatar",1992,"B","Barcelona","M",3.09e+10,496000,22,175,63,1500
"134","sebastian coe","1500M Men",212.5,3.54166666666667,"GBR","United Kingdom",1984,"G","Los Angeles","M",1.16e+12,56400000,27,175,54,1500
"135","steve cram","1500M Men",213.4,3.55666666666667,"GBR","United Kingdom",1984,"S","Los Angeles","M",1.16e+12,56400000,23,186,69,1500
"136","jos„É‚© manuel abascal","1500M Men",214.3,3.57166666666667,"ESP","Spain",1984,"B","Los Angeles","M",6.5e+11,38700000,26,182,67,1500
"137","john george walker","1500M Men",219.2,3.65333333333333,"NZL","New Zealand",1976,"G","Montreal","M",6.79e+10,3110000,24,183,74,1500
"138","ivo van damme","1500M Men",219.3,3.655,"BEL","Belgium",1976,"S","Montreal","M",2.26e+11,9790000,22,191,76,1500
"139","kip keino","1500M Men",214.9,3.58166666666667,"KEN","Kenya",1968,"G","Mexico","M",1.78e+10,10500000,28,173,66,1500
"140","jim ryun","1500M Men",217.8,3.63,"USA","United States",1968,"S","Mexico","M",4.94e+12,206000000,21,188,76,1500
"141","herb elliott","1500M Men",215.6,3.59333333333333,"AUS","Australia",1960,"G","Rome","M",1.44e+11,10300000,22,181,68,1500
"142","michel jazy","1500M Men",218.4,3.64,"FRA","France",1960,"S","Rome","M",5.65e+11,45900000,24,175,65,1500
"143","istv„É‚°n r„É‚ìzsav„É‚ñlgyi","1500M Men",219.2,3.65333333333333,"HUN","Hungary",1960,"B","Rome","M",8.99e+10,10000000,31,177,58,1500
"144","joseph barthel","1500M Men",225.2,3.75333333333333,"LUX","Luxembourg",1952,"G","Helsinki","M",5.44e+09,299000,25,173,68,1500
"145","robert mcmillen","1500M Men",225.2,3.75333333333333,"USA","United States",1952,"S","Helsinki","M",2.71e+12,163000000,24,180,68,1500
"146","john lovelock","1500M Men",227.8,3.79666666666667,"NZL","New Zealand",1936,"G","Berlin","M",1.59e+10,1570000,26,169,61,1500
"147","glenn cunningham","1500M Men",228.4,3.80666666666667,"USA","United States",1936,"S","Berlin","M",1.29e+12,131000000,26,178,70,1500
"148","luigi beccali","1500M Men",229.2,3.82,"ITA","Italy",1936,"B","Berlin","M",2.3e+11,42700000,28,169,63,1500
"149","harri larva","1500M Men",233.2,3.88666666666667,"FIN","Finland",1928,"G","Amsterdam","M",1.54e+10,3400000,21,180,68,1500
"150","jules ladoumegue","1500M Men",233.8,3.89666666666667,"FRA","France",1928,"S","Amsterdam","M",3.04e+11,41200000,21,171,59,1500
"151","eino purje","1500M Men",236.4,3.94,"FIN","Finland",1928,"B","Amsterdam","M",1.54e+10,3400000,28,174,67,1500
"152","albert hill","1500M Men",241.8,4.03,"GBR","United Kingdom",1920,"G","Antwerp","M",3.09e+11,43800000,31,178,72,1500
"153","lawrence shields","1500M Men",243.1,4.05166666666667,"USA","United States",1920,"B","Antwerp","M",9.6e+11,109000000,25,170,64,1500
"154","melvin sheppard","1500M Men",243.4,4.05666666666667,"USA","United States",1908,"G","London","M",6.57e+11,90600000,24,177,67,1500
"155","harold wilson","1500M Men",243.6,4.06,"GBR","United Kingdom",1908,"S","London","M",2.74e+11,41100000,23,162,52,1500
"156","norman hallows","1500M Men",244,4.06666666666667,"GBR","United Kingdom",1908,"B","London","M",2.74e+11,41100000,21,175,60,1500
"157","leonel manzano","1500M Men",214.8,3.58,"USA","United States",2012,"S","London","M",1.61e+13,313000000,27,165,57,1500
"158","abdalaati iguider","1500M Men",215.1,3.585,"MAR","Morocco",2012,"B","London","M",2.22e+11,33300000,25,173,57,1500
"159","hicham el guerrouj","1500M Men",214.2,3.57,"MAR","Morocco",2004,"G","Athens","M",1.6e+11,30200000,29,176,58,1500
"160","bernard lagat","1500M Men",214.3,3.57166666666667,"KEN","Kenya",2004,"S","Athens","M",6.21e+10,35100000,29,173,58,1500
"161","rui silva","1500M Men",214.7,3.57833333333333,"POR","Portugal",2004,"B","Athens","M",2.68e+11,10500000,27,175,65,1500
"162","fermin cacho ruiz","1500M Men",216.4,3.60666666666667,"ESP","Spain",1996,"S","Atlanta","M",9.2e+11,40000000,27,175,65,1500
"163","stephen kipkorir","1500M Men",216.7,3.61166666666667,"KEN","Kenya",1996,"B","Atlanta","M",5.14e+10,28100000,25,185,73,1500
"164","sebastian coe","1500M Men",218.4,3.64,"GBR","United Kingdom",1980,"G","Moscow","M",1.08e+12,56300000,23,175,54,1500
"165","steve ovett","1500M Men",219,3.65,"GBR","United Kingdom",1980,"B","Moscow","M",1.08e+12,56300000,24,183,70,1500
"166","pekka vasala","1500M Men",216.3,3.605,"FIN","Finland",1972,"G","Munich","M",8.11e+10,4650000,24,184,64,1500
"167","kip keino","1500M Men",216.8,3.61333333333333,"KEN","Kenya",1972,"S","Munich","M",2.01e+10,12100000,32,173,66,1500
"168","rodney dixon","1500M Men",217.5,3.625,"NZL","New Zealand",1972,"B","Munich","M",5.99e+10,2930000,22,186,70,1500
"169","peter snell","1500M Men",218.1,3.635,"NZL","New Zealand",1964,"G","Tokyo","M",4.64e+10,2580000,25,179,80,1500
"170","john davies","1500M Men",219.6,3.66,"NZL","New Zealand",1964,"B","Tokyo","M",4.64e+10,2580000,26,185,68,1500
"171","ron delany","1500M Men",221.2,3.68666666666667,"IRL","Ireland",1956,"G","Melbourne / Stockholm","M",1.94e+10,2880000,21,184,75,1500
"172","john landy","1500M Men",222,3.7,"AUS","Australia",1956,"B","Melbourne / Stockholm","M",1.22e+11,9420000,26,182,69,1500
"173","henry eriksson","1500M Men",229.8,3.83,"SWE","Sweden",1948,"G","London","M",7.31e+10,6840000,28,184,73,1500
"174","lennart strand","1500M Men",230.4,3.84,"SWE","Sweden",1948,"S","London","M",7.31e+10,6840000,27,173,61,1500
"175","luigi beccali","1500M Men",231.2,3.85333333333333,"ITA","Italy",1932,"G","Los Angeles","M",2.03e+11,41400000,24,169,63,1500
"176","john cornes","1500M Men",232.6,3.87666666666667,"GBR","United Kingdom",1932,"S","Los Angeles","M",3.36e+11,46400000,22,182,70,1500
"177","paavo nurmi","1500M Men",233.6,3.89333333333333,"FIN","Finland",1924,"G","Paris","M",1.22e+10,3270000,26,174,65,1500
"178","henry stallard","1500M Men",235.6,3.92666666666667,"GBR","United Kingdom",1924,"B","Paris","M",3.17e+11,44900000,23,186,75,1500
"179","arnold jackson","1500M Men",236.8,3.94666666666667,"GBR","United Kingdom",1912,"G","Stockholm","M",3.02e+11,42400000,21,176,67,1500
