"","Name","Year","Sex","Age","Height","Weight","Team","NOC","Event"
"3307","Phylis J. Smith (-Watt)",1992,"F",26,169,62,"Great Britain","GBR","Athletics Women's 4 x 400 metres Relay"
"3308","Ronetta Jamilah Smith",2004,"F",24,168,59,"Jamaica","JAM","Athletics Women's 4 x 400 metres Relay"
"3309","Ronald Ray ""Ronnie Ray"" Smith",1968,"M",19,173,73,"United States","USA","Athletics Men's 4 x 100 metres Relay"
"3310","James Stephenson ""Steve"" Smith",1996,"M",23,185,70,"Great Britain","GBR","Athletics Men's High Jump"
"3311","Tommie C. Smith",1968,"M",24,191,84,"United States","USA","Athletics Men's 200 metres"
"3312","Willie James Smith, III",1984,"M",28,173,73,"United States","USA","Athletics Men's 4 x 400 metres Relay"
"3313","Forrest Custer Smithson",1908,"M",23,183,81,"United States","USA","Athletics Men's 110 metres Hurdles"
"3314","Edward Ralph ""Teddy"" Smouha",1928,"M",18,NA,NA,"Great Britain","GBR","Athletics Men's 4 x 100 metres Relay"
"3315","Peter George Snell",1960,"M",21,179,80,"New Zealand","NZL","Athletics Men's 800 metres"
"3316","Peter George Snell",1964,"M",25,179,80,"New Zealand","NZL","Athletics Men's 800 metres"
"3317","Peter George Snell",1964,"M",25,179,80,"New Zealand","NZL","Athletics Men's 1,500 metres"
"3318","Vilhelm Bruno Sderstrm",1906,"M",24,184,78,"Sweden","SWE","Athletics Men's Pole Vault"
"3319","Vilhelm Bruno Sderstrm",1906,"M",24,184,78,"Sweden","SWE","Athletics Men's Javelin Throw, Freestyle"
"3320","Vilhelm Bruno Sderstrm",1908,"M",26,184,78,"Sweden","SWE","Athletics Men's Pole Vault"
"3321","Edwin Cheruiyot Soi",2008,"M",22,168,53,"Kenya","KEN","Athletics Men's 5,000 metres"
"3322","Nikolay Nikolayevich Sokolov",1960,"M",29,171,63,"Soviet Union","URS","Athletics Men's 3,000 metres Steeplechase"
"3323","Nataliya Dmitriyevna Sokolova (Kulichkova-)",1976,"F",26,164,55,"Soviet Union","URS","Athletics Women's 4 x 400 metres Relay"
"3324","Yelena Aleksandrovna Sokolova (Kremnyova-)",2012,"F",26,170,61,"Russia","RUS","Athletics Women's Long Jump"
